,tile_id,fans,blotches
14208,APF0000f3v,1,1
6436,APF00006xn,1,1
10757,APF0000bc2,1,1
20050,APF0000l43,0,0
16546,APF0000hyi,1,1
13585,APF0000e97,1,1
18604,APF0000jw1,1,1
20771,APF0000mps,1,1
6442,APF00006xt,1,1
15989,APF0000hdd,1,1
1906,APF00001m7,0,1
23382,APF0000pwh,1,0
13367,APF0000e0v,1,1
1557,APF00001bn,1,1
15504,APF0000gvz,0,1
21847,APF0000nnz,1,1
5871,APF00006hy,0,1
1533,APF00001az,1,1
8602,APF000099u,0,1
28773,APF0000wbw,1,0
16629,APF0000i0v,1,1
3798,APF00003l8,1,1
11124,APF0000bme,1,1
14203,APF0000f3o,0,0
19022,APF0000k8j,0,1
12006,APF0000cfk,1,1
17064,APF0000ie9,0,1
4177,APF000043i,1,1
2712,APF00002cp,1,1
13049,APF0000dh4,1,0
11808,APF0000c9e,1,1
7569,APF000083u,1,0
9612,APF0000a8t,1,1
10549,APF0000b66,1,0
19627,APF0000kqf,0,1
3535,APF000036d,1,1
68,APF0000029,0,1
20041,APF0000l38,0,1
28708,APF0000wa3,1,1
1833,APF00001k2,1,1
21023,APF0000mxj,1,1
5162,APF00005sx,0,1
25755,APF0000skk,1,1
7474,APF00007xr,1,0
8287,APF00008zz,1,1
17824,APF0000j77,0,1
19105,APF0000kaz,0,1
22892,APF0000pf9,1,1
4085,APF00003z4,1,1
22722,APF0000pai,1,1
23029,APF0000pjb,0,1
26532,APF0000tbr,0,1
2113,APF00001s0,1,1
10618,APF0000b84,0,1
10075,APF0000aqg,1,1
25164,APF0000rrn,0,1
647,APF00000kj,1,1
16988,APF0000iax,1,1
2952,APF00002ly,0,1
13225,APF0000dvh,1,1
18299,APF0000jn7,0,1
24041,APF0000qfv,0,1
4186,APF0000440,0,1
14363,APF0000fbl,0,1
12112,APF0000cim,0,1
26548,APF0000tc7,1,1
5760,APF00006eu,1,1
24123,APF0000qjz,1,1
23206,APF0000poj,1,1
13823,APF0000emm,1,0
8309,APF000090r,1,1
23076,APF0000pkq,1,1
23065,APF0000pke,1,0
14827,APF0000g10,0,1
21930,APF0000nrh,0,1
29667,APF0000x3d,0,1
11748,APF0000c7h,1,1
12080,APF0000chn,1,1
10343,APF0000ayl,1,1
11335,APF0000bse,1,1
7245,APF00007pe,0,1
12161,APF0000ckc,1,1
8222,APF00008xk,0,1
26035,APF0000ssk,0,1
27944,APF0000vdj,0,1
2386,APF000020l,1,1
403,APF00000da,0,1
19687,APF0000ks3,0,1
7429,APF00007uj,1,1
15150,APF0000gkn,1,1
29076,APF0000wkd,1,1
7406,APF00007tv,0,1
12289,APF0000cou,1,0
26523,APF0000tbh,1,1
26194,APF0000sx3,1,0
5343,APF00005yj,1,1
10599,APF0000b7l,1,1
28939,APF0000wgj,1,0
11982,APF0000cev,0,1
1279,APF000012z,1,1
17005,APF0000ibo,0,1
11713,APF0000c3n,1,1
4148,APF0000421,0,1
22039,APF0000nwh,0,1
21805,APF0000nmr,1,1
22482,APF0000p1j,1,0
8900,APF00009j7,1,0
3430,APF0000332,0,1
9153,APF00009te,1,1
12441,APF0000ctu,1,0
4330,APF000049m,1,1
15447,APF0000gto,1,1
23815,APF0000q9k,1,0
7511,APF000080n,1,1
14380,APF0000fc7,1,1
20367,APF0000m1f,0,1
27829,APF0000v9x,1,1
6313,APF00006u8,0,1
28324,APF0000vzd,1,1
8332,APF000091k,1,1
7303,APF00007r0,0,1
9121,APF00009s7,0,1
24110,APF0000qjd,0,1
19528,APF0000kni,0,1
12469,APF0000cur,1,0
22034,APF0000nw7,0,0
15333,APF0000gpu,0,1
22228,APF0000odx,0,1
5101,APF00005r0,1,1
24366,APF0000qtx,1,0
28470,APF0000w3g,1,0
19476,APF0000klz,0,1
3276,APF00002yr,1,1
20044,APF0000l3n,0,1
9164,APF00009tr,1,0
10291,APF0000ax5,1,0
10264,APF0000awa,1,1
28611,APF0000w7d,1,1
6759,APF00007an,0,1
2730,APF00002dj,0,1
29415,APF0000wts,1,1
25287,APF0000rzt,0,1
14244,APF0000f5a,1,0
795,APF00000or,0,1
12235,APF0000cms,1,0
16556,APF0000hys,1,1
21537,APF0000ne7,1,1
24345,APF0000qt8,0,1
19561,APF0000koh,0,1
855,APF00000qf,1,1
1726,APF00001go,0,1
9631,APF0000a9d,1,1
13227,APF0000dvj,0,1
20746,APF0000moo,0,1
7597,APF000085d,1,0
3384,APF000031s,0,1
10704,APF0000bak,1,1
28281,APF0000vy5,1,0
18186,APF0000jjv,1,1
1137,APF00000yk,0,1
21120,APF0000n0m,1,1
22187,APF0000oab,0,1
28437,APF0000w2j,1,1
25198,APF0000ruq,1,0
11182,APF0000bo0,1,0
27178,APF0000u3r,1,0
24169,APF0000qlv,0,1
15408,APF0000gsd,0,1
12516,APF0000cwd,1,1
6143,APF00006pi,1,1
17437,APF0000iqo,0,1
5595,APF0000666,0,1
12913,APF0000dbp,0,1
19615,APF0000kq2,1,1
18373,APF0000jpe,0,1
2700,APF00002c9,0,1
7718,APF00008bm,1,1
20089,APF0000l90,0,0
22964,APF0000phe,1,1
27659,APF0000v1l,0,1
12483,APF0000cv8,1,0
20445,APF0000m5f,1,0
5840,APF00006h2,1,1
18806,APF0000k20,0,1
13179,APF0000drp,1,1
13969,APF0000ev6,0,1
21469,APF0000nbt,1,1
21526,APF0000ndu,1,0
6515,APF00006zz,0,1
10242,APF0000avn,1,1
16657,APF0000i1n,1,1
13107,APF0000doy,0,0
15175,APF0000glc,0,1
9577,APF0000a7p,0,1
22929,APF0000pgd,1,1
16124,APF0000hir,0,1
2894,APF00002ju,0,1
23837,APF0000qa6,1,1
13710,APF0000ejg,1,1
23047,APF0000pjv,1,1
7386,APF00007tb,0,1
594,APF00000j1,0,1
904,APF00000rs,1,1
29439,APF0000wug,1,0
18776,APF0000k12,0,1
20614,APF0000mis,0,1
21942,APF0000ns0,1,1
2676,APF00002be,0,1
15649,APF0000h0t,0,1
25608,APF0000sg9,1,0
21460,APF0000nbj,0,1
27224,APF0000u6d,1,1
650,APF00000km,0,1
28764,APF0000wbn,1,1
5469,APF000062d,0,1
18296,APF0000jn4,0,1
6382,APF00006w5,1,1
5027,APF00005oh,0,1
7676,APF0000897,1,0
11361,APF0000bt6,1,1
16132,APF0000hj3,0,1
26217,APF0000syg,1,0
10765,APF0000bca,0,1
29325,APF0000wra,1,1
29170,APF0000wmz,1,0
16468,APF0000hwc,1,1
13547,APF0000e7o,0,1
7181,APF00007nm,0,1
29133,APF0000wly,1,0
10120,APF0000arx,1,1
22014,APF0000nvd,0,0
11602,APF0000c00,1,1
21218,APF0000n3o,1,1
12186,APF0000cl7,1,1
9529,APF0000a5x,1,1
14765,APF0000fxy,0,1
15709,APF0000h39,1,0
15327,APF0000gpo,1,1
23935,APF0000qcx,1,1
22145,APF0000o6k,1,1
27356,APF0000ubb,0,1
11057,APF0000bkh,1,1
25769,APF0000sky,1,1
26278,APF0000t37,1,0
21591,APF0000ng1,0,1
7520,APF0000810,1,0
9088,APF00009r3,1,0
595,APF00000j2,0,1
28936,APF0000wgg,1,1
21382,APF0000n8u,0,1
23786,APF0000q8r,1,1
18459,APF0000jru,0,1
4619,APF00004v4,1,0
2810,APF00002gq,0,1
8099,APF00008su,0,1
14222,APF0000f4d,1,0
7745,APF00008cx,0,1
17907,APF0000jay,0,1
9275,APF00009xh,0,1
18055,APF0000jfz,1,1
9838,APF0000agw,1,0
20426,APF0000m4s,1,1
17351,APF0000inu,1,1
16112,APF0000hi3,0,1
18195,APF0000jk4,0,1
23651,APF0000q41,1,1
24470,APF0000qy8,0,1
11322,APF0000bs1,0,1
15740,APF0000h4f,0,1
9140,APF00009sv,1,1
417,APF00000dp,1,1
15776,APF0000h6g,0,1
28201,APF0000vvw,1,1
6061,APF00006n8,1,1
27650,APF0000v0e,1,0
5360,APF00005z1,1,1
1842,APF00001kc,0,1
2521,APF000025d,0,1
23810,APF0000q9f,1,1
6595,APF0000750,0,1
1699,APF00001ft,0,1
2433,APF0000227,1,1
862,APF00000qm,1,0
12709,APF0000d4x,1,0
1885,APF00001lm,1,1
22542,APF0000p54,1,0
27505,APF0000ug6,1,0
22494,APF0000p24,0,1
15424,APF0000gsw,0,1
16419,APF0000huz,1,1
3364,APF0000318,1,1
7648,APF000087q,1,0
17711,APF0000j32,1,1
9385,APF0000a1c,0,1
14099,APF0000ezq,1,1
18220,APF0000jkv,0,1
27520,APF0000ugo,1,1
708,APF00000mb,0,1
10604,APF0000b7q,0,1
24763,APF0000r7s,1,1
15413,APF0000gsj,0,1
21437,APF0000nau,1,1
18262,APF0000jm4,1,1
16003,APF0000hds,1,0
23683,APF0000q5q,0,1
1206,APF000010h,1,1
28839,APF0000wdr,1,1
19498,APF0000kml,0,1
19422,APF0000kkd,1,1
19478,APF0000km1,1,1
5203,APF00005ua,1,0
7975,APF00008ng,1,1
6257,APF00006so,1,1
26751,APF0000tiy,1,1
8858,APF00009hn,1,0
20129,APF0000ldn,0,1
15575,APF0000gy2,1,1
22713,APF0000pa9,1,1
14093,APF0000ezj,0,1
13670,APF0000efj,1,1
8416,APF0000947,0,1
29064,APF0000wk1,1,0
26604,APF0000tdt,1,1
2009,APF00001p2,0,1
6659,APF000077n,1,1
10233,APF0000ave,1,1
4761,APF00005d3,1,1
985,APF00000u7,1,1
10734,APF0000bbf,1,0
25395,APF0000s3p,0,1
5113,APF00005rc,1,1
24014,APF0000qf4,1,1
12358,APF0000cr1,1,0
19438,APF0000kkt,0,1
12069,APF0000chc,1,0
24583,APF0000r2m,1,0
21227,APF0000n3x,1,1
15938,APF0000hbl,0,1
